"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1964/01/01","00:00","1.111","NaN","0.48","-0.194","-0.209","-0.898","NaN","-1.45","0"
"1964/02/01","00:00","0.989","NaN","0.44","-0.209","-0.237","-0.91","NaN","-1.389","0"
"1964/03/01","00:00","0.958","NaN","0.525","-0.115","-0.157","-0.837","NaN","-1.389","0"
"1964/04/01","00:00","0.989","NaN","0.498","-0.148","-0.188","-0.874","NaN","-1.297","0"
"1964/05/01","00:00","1.08","NaN","0.559","-0.081","-0.121","-0.8","NaN","-1.145","0"
"1964/06/01","00:00","1.08","NaN","0.553","-0.103","-0.139","-0.834","NaN","-1.145","0"
"1964/07/01","00:00","1.05","NaN","0.632","-0.026","-0.06","-0.749","NaN","-0.993","0"
"1964/08/01","00:00","1.019","NaN","0.653","-0.023","-0.048","-0.746","NaN","-1.023","0"
"1964/09/01","00:00","0.989","NaN","0.687","0.022","-0.008","-0.703","NaN","-1.023","0"
"1964/10/01","00:00","0.989","NaN","0.659","-0.002","-0.042","-0.74","NaN","-1.023","0"
"1964/11/01","00:00","1.202","NaN","0.656","0.001","-0.032","-0.721","NaN","-1.297","0"
"1964/12/01","00:00","1.08","NaN","0.495","-0.151","-0.182","-0.858","NaN","-1.511","0"
"1965/01/01","00:00","1.293","NaN","0.535","-0.112","-0.13","-0.797","NaN","-1.358","0"
"1965/02/01","00:00","0.989","NaN","0.483","-0.167","-0.191","-0.865","NaN","-1.358","0"
"1965/03/01","00:00","1.141","NaN","0.516","-0.145","-0.163","-0.843","NaN","-1.236","0"
"1965/04/01","00:00","1.019","NaN","0.595","-0.066","-0.093","-0.779","NaN","-1.114","0"
"1965/05/01","00:00","0.958","NaN","0.602","-0.081","-0.099","-0.8","NaN","-1.053","0"
"1965/06/01","00:00","1.08","NaN","0.632","-0.032","-0.069","-0.77","NaN","-1.114","0"
"1965/07/01","00:00","1.08","NaN","0.659","-0.023","-0.057","-0.77","NaN","-1.053","0"
"1965/08/01","00:00","0.958","NaN","0.592","-0.078","-0.106","-0.807","NaN","-1.236","0"
"1965/09/01","00:00","1.05","NaN","0.632","-0.026","-0.051","-0.733","NaN","-1.114","0"
"1965/10/01","00:00","1.111","NaN","0.595","-0.06","-0.075","-0.746","NaN","-1.053","0"
"1965/11/01","00:00","1.05","NaN","0.562","-0.081","-0.109","-0.779","NaN","-1.206","0"
"1965/12/01","00:00","1.111","NaN","0.568","-0.084","-0.106","-0.776","NaN","-1.236","0"
"1966/01/01","00:00","1.69","0.562","0.416","-0.227","-0.255","-0.925","-1.038","-1.937","0"
"1966/02/01","00:00","0.958","0.571","0.464","-0.194","-0.221","-0.904","-0.971","-1.419","0"
"1966/03/01","00:00","1.08","0.602","0.528","-0.139","-0.167","-0.861","-0.922","-1.328","0"
"1966/04/01","00:00","1.016","0.663","0.583","-0.084","-0.121","-0.828","-0.874","-1.145","0"
"1966/05/01","00:00","0.897","0.672","0.577","-0.106","-0.139","-0.855","-0.904","-1.267","0"
"1966/06/01","00:00","0.958","0.711","0.602","-0.069","-0.093","-0.788","-0.855","-1.084","0"
"1966/07/01","00:00","0.928","0.736","0.62","-0.038","-0.075","-0.77","-0.837","-1.084","0"
"1966/08/01","00:00","1.111","0.739","0.641","-0.026","-0.054","-0.749","-0.8","-1.114","0"
"1966/09/01","00:00","1.293","0.797","0.705","0.05","0.019","-0.666","-0.73","-1.023","0"
"1966/10/01","00:00","1.019","0.681","0.574","-0.096","-0.124","-0.819","-0.871","-1.206","0"
"1966/11/01","00:00","1.141","0.748","0.653","-0.008","-0.029","-0.712","-0.782","-1.114","0"
"1966/12/01","00:00","1.354","0.687","0.553","-0.109","-0.13","-0.813","-0.889","-1.633","0"
"1967/01/01","00:00","1.324","0.693","0.583","-0.084","-0.103","-0.788","-0.861","-1.328","0"
"1967/02/01","00:00","1.141","0.635","0.507","-0.136","-0.17","-0.846","-0.922","-1.755","0"
"1967/03/01","00:00","1.172","0.733","0.617","-0.045","-0.063","-0.74","-0.8","-1.328","0"
"1967/04/01","00:00","1.354","0.775","0.672","0.016","-0.005","-0.682","-0.74","-1.297","0"
"1967/05/01","00:00","1.324","0.763","0.656","0.016","-0.005","-0.666","-0.749","-1.114","0"
"1967/06/01","00:00","1.233","0.76","0.644","0.01","-0.02","-0.685","-0.758","-0.871","0"
"1967/07/01","00:00","0.928","0.766","0.65","0.022","-0.008","-0.666","-0.724","-0.932","0"
"1967/08/01","00:00","0.928","0.754","0.635","0.001","-0.026","-0.691","-0.746","-0.962","0"
"1967/09/01","00:00","0.989","0.727","0.635","-0.008","-0.038","-0.712","-0.764","-1.206","0"
"1967/10/01","00:00","1.111","0.675","0.574","-0.087","-0.118","-0.813","-0.865","-1.206","0"
"1967/11/01","00:00","1.233","0.629","0.519","-0.142","-0.167","-0.852","-0.916","-1.392","0"
"1967/12/01","00:00","1.233","0.733","0.608","-0.054","-0.075","-0.755","-0.834","-1.145","0"
"1968/01/01","00:00","1.233","0.614","0.467","-0.185","-0.2","-0.868","-0.956","-1.602","0"
"1968/02/01","00:00","0.989","0.544","0.449","-0.185","-0.209","-0.871","-0.929","-1.419","0"
"1968/03/01","00:00","0.928","0.592","0.498","-0.133","-0.167","-0.831","-0.892","-1.45","0"
"1968/04/01","00:00","1.08","0.635","0.544","-0.087","-0.118","-0.776","-0.828","-1.145","0"
"1968/05/01","00:00","1.111","0.73","0.614","-0.017","-0.042","-0.697","-0.758","-1.175","0"
"1968/06/01","00:00","1.324","0.791","0.672","0.022","-0.005","-0.682","-0.746","-0.993","0"
"1968/07/01","00:00","1.019","0.742","0.629","-0.038","-0.063","-0.755","-0.819","-1.084","0"
"1968/08/01","00:00","1.019","0.742","0.626","-0.035","-0.063","-0.749","-0.791","-0.962","0"
"1968/09/01","00:00","1.019","0.73","0.638","-0.008","-0.038","-0.712","-0.746","-0.993","0"
"1968/10/01","00:00","1.187","0.656","0.562","-0.084","-0.118","-0.797","-0.865","-1.154","0"
"1968/11/01","00:00","1.757","0.772","0.629","-0.035","-0.06","-0.749","-0.84","-1.55","0"
"1968/12/01","00:00","1.281","0.519","0.379","-0.267","-0.291","-0.962","-1.032","-1.538","0"
"1969/01/01","00:00","0.925","0.547","0.4","-0.218","-0.243","-0.886","-0.962","-1.825","0"
"1969/02/01","00:00","0.949","0.666","0.541","-0.087","-0.112","-0.767","-0.84","-1.755","0"
"1969/03/01","00:00","0.943","0.605","0.51","-0.103","-0.127","-0.764","-0.825","-1.221","0"
"1969/04/01","00:00","0.867","0.647","0.544","-0.096","-0.127","-0.794","-0.849","-1.395","0"
"1969/05/01","00:00","1.044","0.708","0.583","-0.078","-0.109","-0.797","-0.858","-1.166","0"
"1969/06/01","00:00","1.068","0.797","0.669","0.004","-0.023","-0.718","-0.791","-1.127","0"
"1969/07/01","00:00","1.12","0.815","0.702","0.026","0.001","-0.697","-0.758","-1.194","0"
"1969/08/01","00:00","1.092","0.763","0.65","-0.002","-0.032","-0.718","-0.773","-1.139","0"
"1969/09/01","00:00","0.989","0.778","0.675","0.022","0.001","-0.676","-0.718","-1.05","0"
"1969/10/01","00:00","0.998","0.763","0.65","0.007","-0.017","-0.688","-0.727","-1.23","0"
"1969/11/01","00:00","1.336","0.788","0.666","0.035","0.013","-0.642","-0.706","-1.151","0"
